id,text,xlit,plaintext
83.1,]176-220-415-060-920+,sa-ma-ta-ma-da,damatamasa
84.1,+000-000-002-820+,.a-.-va-ra,rava..a
85.1,+161-055+,ya-ja,jaya
86.1,+790/740-055[,ra-an-ja,jaanra
87.1,+520-233-803-002-817+,na-ma-sa-va-ra,ravasamana
88.1,+151-690/032-031+,ya-ka-sa-aa,aasakaya
89.1,+031-840-140-740-101-002-365-287-034+,aa-d-ta-an-aaa-va-na-as-ca,caasnavaaaaantadaa
90.1,+740-390-590+,an-ra-va,varaan
91.1,+740-016-002-920-317+,an-sa-va-da-sa,sadavasaan
92.1,+520-235-803-002-817+,na-maa-sa-va-ra,ravasamaana
93.1,+740-140-717-002-298-741+,an-ta-da-va-la-an,anlavadataan
94.1,+817-521-521/090-740-221-002-031-500+,ra-ta-ta-aa-an-amaa-va-aa-a,aaavaamaaanaatatara
95.1,+520-033-705-240-798-002-000[,na-ja-an-ma-as-va-.,.vaasmaanjana
96.1,+740-803-233-741-250-579+,an-sa-ma-an-da-ma,madaanmasaan
97.1,+151-233-803-033-705-240+,ya-ma-sa-ja-an-ma,maanjasamaya
98.1,+740-231-220-032-002-817+,an-ma-ma-sa-va-ra,ravasamamaan
99.1,+590-615-140/232-240-001-060-920+,va-na-ta-nmna-ma-aa-m-da,damaamanmnatanava
100.1,+161-390-590-031-740-060-920+,ya-ra-va-aa-an-ma-da,damaanaavaraya
101.1,]000-220-032-060-766+,.a-ma-sa-ma-cara,caramasama.a
102.1,+000-235+,.a-maa,maa.a
103.1,+740-400-920-031+,an-i-d-aa,aadian
104.1,+429-003-741-060-920+,ya-ja-an-ma-da,damaanjaya
105.1,+740-100+,an-aa,aaan
106.1,]000-031-002-817+,.a-aa-v-ra,ravaa.a
107.1,+151-790-031-790-495+,ya-ra-aa-r-aa,aaraaraya
108.1,+156-230+,ya-ma,maya
109.1,+440-390-032/368-390-790+,pa-ra-sa-na-ra-ra,raranasarapa
110.1,+129-817-310-350-128-857-003-388+,daada-ra-la-ca-daa-ta-ja-va,vajatadaacalaradaada
111.1,+390-128-702-002/226-032-002-001-480-850+,ra-daa-an-va-nmna-sa-va-aa-s-ra,rasaavasanmnavaandaara
112.1,+032-031-740-384-032/000-000-840-634-032+,sa-aa-an-ba-sa-.-.-da-ta-sa,satada..sabaanaasa
113.1,+822-140-015+,saras-ta-pa,patasaras
114.1,+375-400-390-632+,ataa-i-r-ta,tariataa
115.1,+220-000-740/741-255+,ma-.-an-an-ma,maanan.ma
116.1,+032-031-390-844-000-000-032-803-220+,sa-aa-r-da-.-.-sa-sa-ma,masasa..daraasa
117.1,+031-705-167[,aa-an-va,vaanaa
118.1,+520-515-255[,na-sa-ma,masana
119.1,+220-063-706-000+,ma-ta-an-.,.antama
120.1,+909-540-540+,ya-da-da,dadaya
121.1,+390-095-909-005-825-776-220-016+,ra-aa-y-pa-ra-ra-ma-sa,samararapayaara
121.2,+740-000-835-240-235-031-900-066+,an-.-ta-ma-maa-aa-a-g,gaaamaamata.an
122.1,+740+,an,an
123.1,+740-920-324-233-240-013-817+,an-da-ma-ma-ma-ta-ra,ratamamamadaan
124.1,+590-407-790-440+,va-ra-ra-pa,pararava
125.1,+394-032-002-892-740+,ira-sa-va-da-an,andavasaira
126.1,+740-760-000-742-013/742-552+,an-ra-.-an-ta-an-asaas,asaasantaan.raan
127.1,+151-892-032+,ya-da-sa,sadaya
128.1,+156-019+,ya-na,naya
129.1,+093-808+,aaa-ta,taaaa
130.1,+244-165/740-879-220-416-803-002-861+,sa-ba-an-ra-ma-ta-sa-va-ra,ravasatamaraanbasa
131.1,+520-460-495+,na-da-aa,aadana
132.1,+740-416-002-861+,an-ta-va-ra,ravataan
133.1,+520-460+,na-da,dana
134.1,+154-388-717-705+,ya-va-da-an,andavaya
135.1,+590-407-790-032+,va-ra-ra-sa,sararava
136.1,+390-016-002-861+,ra-sa-va-ra,ravasara
137.1,+617-142+,nna-aa,aanna
138.1,+520-033-706-233+,na-ja-an-ma,maanjana
139.1,+740-100-407-590+,an-aa-r-va,varaaan
140.1,+520-033[,na-ja,jana
141.1,+090-740-000[,aa-an-.,.anaa
142.1,+740-000+,an-.,.an
143.1,+000-400-350-031-002-817+,.a-i-c-aa-v-ra,ravaaci.a
144.1,+798-821-031-645-850-820-388-611-820+,as-rara-aa-k-ra-ra-va-ka-ra,rakavararakaararaas
145.1,+151-382-031-002-861+,ya-ba-aa-v-ra,ravaabaya
146.1,]000-002-817+,.a-va-ra,rava.a
147.1,+317-817-000-090+,sa-ra-.-aa,aa.rasa
148.1,]090-001-350-716+,aa-a-c-da,dacaaa
149.1,+240-220+,ma-ma,mama
150.1,+740-760-445+,an-ra-pa,paraan
151.1,+220-032+,ma-sa,sama
152.1,]615-715+,na-da,dana
153.1,+390-371+,ra-ka,kara
153.2,+390-371+,ra-ka,kara
154.1,]390-390[,ra-ra,rara
155.1,]740+,an,an
156.1,+400-740-900[,i-an-aa,aaani
157.1,+740-923-838+,an-aa-s,saaan
158.1,+236-140-893-861+,naaman-ta-dada-ra,radadatanaaman
159.1,+840+,da,da
160.1,+617-117+,nna-taaa,taaanna
161.1,]000-615+,.a-na,na.a
162.1,]033-000-000+,ja-.-.,..ja
162.2,+033-255+,ja-ma,maja
163.1,]000-032[,.a-sa,sa.a
163.2,]740-000[,an-.,.an
164.1,+520-001-090-000[,na-aa-a-.,.aaana
165.1,+031-463-000+,aa-d-.,.daa
166.1,+000-220-000+,.a-ma-.,.ma.a
167.1,]000-803-000[,.a-sa-.,.sa.a
168.1,+745-000[,an-.,.an
169.1,+740-000[,an-.,.an
170.1,+527-740-914+,ma-an-ca,caanma
171.1,]035-705+,pa-an,anpa
172.1,]034-000+,ca-.,.ca
173.1,+220-016+,ma-sa,sama
174.1,]590-220-003+,va-ma-ja,jamava
175.1,]220-032+,ma-sa,sama
176.1,+235-033+,maa-ja,jamaa
177.1,]000-055-033-033+,.a-ja-ja-ja,jajaja.a
178.1,+000-000-033+,.a-.-ja,ja..a
179.1,+090+,aa,aa
180.1,+740-900-000-407-000-000-000+,an-aa-.-ra-.-.-.,...ra.aaan
181.1,+740-142+,an-aa,aaan
182.1,+156+,ya,ya
183.1,+415-000-160+,ta-.-ya,ya.ta
184.1,]000-176+,.a-sa,sa.a
184.2,]000-700+,.a-an,an.a
185.1,]080-388-220[,sa-va-ma,mavasa
186.1,]000-000-220+,.a-.-ma,ma..a
187.1,]615[,na,na
187.2,]220[,ma,ma
188.1,]000-550-231[,.a-as-ma,maas.a
189.1,+740-690-630-240[,an-ka-ta-ma,matakaan
190.1,+240[,ma,ma
191.1,]400+,i,i
192.1,+000-000-000-000-405[,.a-.-.-.-ra,ra....a
193.1,+697-590+,ananan-va,vaananan
194.1,+697-510+,ananan-u,uananan
195.1,+697-722+,ananan-an,anananan
196.1,]551+,as,as
197.1,]400-236+,i-naaman,naamani
198.1,+740-603-240-060-692+,an-aa-m-ma-ka,kamamaaan
198.2,+700-034+,an-ca,caan
199.1,+520-220-240-798-060-692+,na-ma-ma-as-ma-ka,kamaasmamana
200.1,+031-034-060-692[,aa-c-ma-ka,kamacaa
201.1,+692+,ka,ka
202.1,+740-710-017[,an-ma-sa,samaan
203.1,]000-000-000[,.a-.-.,...a
204.1,+400-740-000[,i-an-.,.ani
205.1,+740-055-806+,an-ja-sa,sajaan
206.1,]000-220-840[,.a-ma-da,dama.a
207.1,+740-000[,an-.,.an
207.2,+700[,an,an
208.1,+740-000-892+,an-.-da,da.an
209.1,+740-000[,an-.,.an
210.1,+527-550[,ma-as,asma
210.2,]700+,an,an
211.1,]700+,an,an
211.2,]000[,.a,.a
212.1,+700-033+,an-ja,jaan
212.2,+000-000-000-000+,.a-.-.-.,....a
213.1,+034-000-033+,ca-.-ja,ja.ca
214.1,]000-033[,.a-ja,ja.a
215.1,+400-740-100-176-000+,i-an-aa-s-.,.saaani
216.1,+000-000-002-257-550+,.a-.-va-sa-as,assava..a
217.1,+090-740-240-220+,aa-an-ma-ma,mamaanaa
218.1,+000-000-740-519+,.a-.-an-sas,sasan..a
218.2,+033-720+,ja-da,daja
219.1,+151-000-060-000+,ya-.-ma-.,.ma.ya
220.1,+400-154-440-220+,i-y-pa-ma,mapayi
221.1,+520-220-415+,na-ma-ta,tamana
222.1,+824-032-578-415+,ra-sa-ma-ta,tamasara
222.2,+740-714-840-799+,an-annaa-da-asaas,asaasdaannaaan
222.3,+700-034+,an-ca,caan
223.1,+740-923-000-220-002-817+,an-aa-.-ma-va-ra,ravama.aaan
224.1,+740+,an,an
225.1,+804-740-219+,nasan-an-mama,mamaannasan
225.2,+700-033+,an-ja,jaan
226.1,+000-000-000+,.a-.-.,...a
226.2,+400-032-000+,i-s-.,.si
227.1,+400-158[,i-y,yi
228.1,+740-031-904-001-032+,an-aa-a-a-s,saaaaan
228.2,+700-031-000-032+,an-aa-.-sa,sa.aaan
229.1,+740-031-904-001-032+,an-aa-a-a-s,saaaaan
229.2,+700-032+,an-sa,saan
230.1,]000-700[,.a-an,an.a
231.1,]000-904-790-550-740-000[,.a-aa-r-as-an-.,.anasraa.a
232.1,+390-035+,ra-pa,para
233.1,+405-004-745-905+,ra-ca-an-na,naancara
234.1,+868-705-590+,ra-an-va,vaanra
234.2,+400-156-435-255+,i-y-aa-m,maayi
235.1,+776-495+,ra-aa,aara
235.2,]740-000+,an-.,.an
236.1,+060-550+,ma-as,asma
237.1,+400-090-740-220-003+,i-a-an-ma-ja,jamaanai
238.1,]000-503+,.a-aa,aa.a
239.1,]400-090-000[,i-a-.,.ai
239.2,]000-000-000[,.a-.-.,...a
240.1,+151-231+,ya-ma,maya
241.1,]742-851[,an-ra,raan
241.2,+400-575-000[,i-m-.,.mi
242.1,+156[,ya,ya
243.1,]019-798[,na-as,asna
243.2,+000+,.a,.a
244.1,+156-384-031-400+,ya-ba-aa-i,iaabaya
245.1,+151-504-000[,ya-ma-.,.maya
246.1,+740-900-005-002-820+,an-aa-p-va-ra,ravapaaan
247.1,+400-142[,i-a,ai
247.2,]000+,.a,.a
248.1,+740-554+,an-as,asan
249.1,+400-892-831+,i-d-sa,sadi
249.2,+700-032+,an-sa,saan
250.1,+220+,ma,ma
250.2,+167-705+,va-an,anva
252.1,]220[,ma,ma
252.2,]000[,.a,.a
253.1,+520-400-000+,na-i-.,.ina
254.1,+400-740-000[,i-an-.,.ani
255.1,+700-032+,an-sa,saan
255.2,+400-678+,i-ak,aki
256.1,+740-519-002-297-000[,an-sas-va-la-.,.lavasasan
257.1,+156-176-741-060-920+,ya-sa-an-ma-da,damaansaya
257.2,+700-032+,an-sa,saan
258.1,+400-520-220-016+,i-n-ma-sa,samani
258.2,+700-033-711-817-000+,an-ja-ra-ra-.,.rarajaan
259.1,+400-740-575-017-920-320-798-002-861+,i-an-ma-sa-da-ma-as-va-ra,ravaasmadasamaani
260.1,+700-033+,an-ja,jaan
260.2,+400-740-176+,i-an-sa,saani
261.1,+503-233-240+,aa-m-ma,mamaa
262.1,]000-001-031-790+,.a-aa-a-r,raaa.a
262.2,]700-033+,an-ja,jaan
263.1,+700-034[,an-ca,caan
263.2,]742-217+,an-ayaa,ayaaan
264.1,+400-156-140-032+,i-y-ta-sa,satayi
264.2,+700-033+,an-ja,jaan
265.1,+400-740-176+,i-an-sa,saani
265.2,+700-034+,an-ca,caan
266.1,+400-740-760-605+,i-an-ra-na,naraani
267.1,+400-740-176+,i-an-sa,saani
267.2,+000-700+,.a-an,an.a
268.1,+700-033+,an-ja,jaan
268.2,+869-000+,ra-.,.ra
269.1,+740-390-590[,an-ra-va,varaan
270.1,+200-705-380+,as-an-ba,baanas
270.2,+700-032+,an-sa,saan
271.1,]455-710+,sa-ma,masa
271.2,]000+,.a,.a
272.1,]700[,an,an
273.1,+400-740-382+,i-an-ba,baani
273.2,+700-032+,an-sa,saan
274.1,+154-435-255+,ya-aa-m,maaya
274.2,+700-034+,an-ca,caan
275.1,+000+,.a,.a
275.2,+700-000+,an-.,.an
276.1,+390+,ra,ra
277.1,]000-892-413+,.a-da-i,ida.a
277.2,+520-220[,na-ma,mana
278.1,+617-142-001-595-095[,nna-aa-a-v-aa,aavaaanna
279.1,]817-000+,ra-.,.ra
280.1,+740-904-240-002-817+,an-aa-m-va-ra,ravamaaan
280.2,+700-032+,an-sa,saan
281.1,+400-098+,i-a,ai
282.1,+700-032+,an-sa,saan
282.2,+520-220+,na-ma,mana
283.1,]033-700+,ja-an,anja
283.2,+080-000[,sa-.,.sa
284.1,+090-740-103-002-861+,aa-an-aaa-va-ra,ravaaaaanaa
285.1,+740-840[,an-da,daan
285.2,]000-033+,.a-ja,ja.a
286.1,]000-033+,.a-ja,ja.a
286.2,+740-000[,an-.,.an
287.1,+000-000[,.a-.,..a
287.2,+868-435-255-000[,ra-aa-m-.,.maara
288.1,+740-798-820+,an-as-ra,raasan
289.1,+740-000-828+,an-.-ta,ta.an
290.1,+033-700+,ja-an,anja
290.2,+520-000-255+,na-.-ma,ma.na
291.1,+740-407-590-690-436-255-920-318-220-415-803+,an-ra-va-ka-aa-m-da-ma-ma-ta-sa,satamamadamaakavaraan
292.1,+740-100-140-003+,an-aa-t-ja,jataaan
293.1,+220-500-520-002-862-032+,ma-aa-n-va-ri-sa,sarivanaama
294.1,+740-760-070-921-315-233+,an-ra-ma-da-sa-ma,masadamaraan
295.1,+824-892-413+,ra-da-i,idara
295.2,+740-924+,an-aa,aaan
296.1,]740-019-002-000[,an-na-va-.,.vanaan
297.1,+520-233-240+,na-ma-ma,mamana
297.2,+400-740-455+,i-an-sa,saani
298.1,+400-740-000-000+,i-an-.-.,..ani
298.2,+000-000-000+,.a-.-.,...a
299.1,]405+,ra,ra
300.1,+740-048-741-851+,an-asaa-an-ra,raanasaaan
300.2,+700-033-711-335-575-413+,an-ja-ra-ma-ma-i,imamarajaan
301.1,+700-031[,an-aa,aaan
301.2,+400-740-000[,i-an-.,.ani
302.1,]740-840[,an-da,daan
302.2,]220-700[,ma-an,anma
303.1,+151-760-220-003-002-861+,ya-ra-ma-ja-va-ra,ravajamaraya
304.1,+416-590-033[,ta-va-ja,javata
304.2,+255-033[,ma-ja,jama
305.1,+413+,i,i
305.2,+692+,ka,ka
306.1,+740-100-176+,an-aa-s,saaan
307.1,]000-760-382+,.a-ra-ba,bara.a
307.2,]034+,ca,ca
308.1,+700-033+,an-ja,jaan
308.2,+000-220+,.a-ma,ma.a
309.1,+740-785-004+,an-ra-ca,caraan
310.1,+416-590-033+,ta-va-ja,javata
310.2,+033-255+,ja-ma,maja
311.1,+400-740-767-220-416+,i-an-tara-ma-ta,tamataraani
311.2,+700-220-004+,an-ma-ca,camaan
312.1,+039+,na,na
313.1,+525-550-220+,ma-as-ma,maasma
313.2,+700-032+,an-sa,saan
314.1,+740-441[,an-papa,papaan
315.1,+405-005-002+,ra-pa-va,vapara
316.1,+740-904-240+,an-aa-m,maaan
316.2,+033-700+,ja-an,anja
317.1,+400-226-032+,i-nmn-sa,sanmni
317.2,+700-032+,an-sa,saan
318.1,+220-016+,ma-sa,sama
319.1,+400-255-400-165-900-001+,i-m-i-b-aa-a,aaabimi
320.1,]820-595-032-115-550[,ra-va-sa-anaara-as,asanaarasavara
321.1,+090-740-103-741-066+,aa-an-aaa-an-ga,gaanaaaanaa
322.1,+520-033-706-231-415-803+,na-ja-an-ma-ta-sa,satamaanjana
323.1,]002-861[,va-ra,rava
324.1,+400-740-000[,i-an-.,.ani
325.1,+000-740+,.a-an,an.a
326.1,+032+,sa,sa
327.1,+740+,an,an
328.1,+032+,sa,sa
329.1,]155-033+,ya-ja,jaya
330.1,+700+,an,an
331.1,+031+,aa,aa
332.1,+032+,sa,sa
333.1,+032+,sa,sa
334.1,+034+,ca,ca
335.1,+550+,as,as
336.1,]705+,an,an
337.1,+033+,ja,ja
338.1,+740-066-090-400[,an-ga-aa-i,iaagaan
339.1,+001+,aa,aa
340.1,+001+,aa,aa
341.1,+002+,va,va
342.1,+002+,va,va
343.1,+032+,sa,sa
344.1,+004+,ca,ca
345.1,+003+,ja,ja
346.1,+032+,sa,sa
347.1,+033+,ja,ja
348.1,+032+,sa,sa
349.1,+002+,va,va
350.1,+002+,va,va
351.1,+031+,aa,aa
352.1,+031+,aa,aa
353.1,+004+,ca,ca
354.1,+033+,ja,ja
355.1,+031-999-032+,aa- -sa,sa aa
356.1,+002+,va,va
357.1,+032+,sa,sa
358.1,+031+,aa,aa
359.1,+033+,ja,ja
360.1,+032+,sa,sa
361.1,+004+,ca,ca
362.1,+003-000[,ja-.,.ja
363.1,+032+,sa,sa
364.1,+003/003+,ja-ja,jaja
365.1,+698+,anan,anan
366.1,+032+,sa,sa
367.1,+032+,sa,sa
368.1,+400-520-000[,i-n-.,.ni
369.1,]687+,aka,aka
369.2,+740-630[,an-ta,taan
370.1,+317-740-335-740-176-002-920-491+,sa-an-ma-an-sa-va-da-aa,aadavasaanmaansa
370.2,+700-032-740-335-575-413+,an-sa-an-ma-ma-i,imamaansaan
371.1,+700-032+,an-sa,saan
371.2,+740-031-001-140+,an-aa-a-t,taaaan
372.1,+047+,ajaa,ajaa
373.1,+033-700+,ja-an,anja
373.2,+550-003-435+,as-ja-aa,aajaas
374.1,+000-151-097-001-820+,.a-ya-aaa-aa-r,raaaaaya.a
374.2,+390-003-060-550+,ra-ja-ma-as,asmajara
375.1,+700-036+,an-sa,saan
375.2,+415-700-033-171+,ta-an-ja-u,ujaanta
376.1,+700-033[,an-ja,jaan
376.2,+400-740-390-000[,i-an-ra-.,.raani
377.1,+033-700+,ja-an,anja
377.2,+167-705+,va-an,anva
378.1,+740-390-590-060-550+,an-ra-va-ma-as,asmavaraan
379.1,+405-005+,ra-pa,para
380.1,]000-034+,.a-ca,ca.a
380.2,+740-636-000[,an-ta-.,.taan
381.1,+000[,.a,.a
381.2,]000-060-692+,.a-ma-ka,kama.a
382.1,+700-034+,an-ca,caan
382.2,+400-740-061-140+,i-an-ta-ta,tataani
383.1,+700-032+,an-sa,saan
383.2,+740-031-001-140+,an-aa-a-t,taaaan
384.1,+790+,ra,ra
385.1,+200[,as,as
386.1,+700-032+,an-sa,saan
386.2,+400-617-829+,i-nn-sa,sanni
387.1,]000-700+,.a-an,an.a
387.2,]000-000-000+,.a-.-.,...a
388.1,+700-034+,an-ca,caan
388.2,+002-220-455-000+,va-ma-sa-.,.samava
389.1,+167-705+,va-an,anva
390.1,+868-706-590+,ra-an-va,vaanra
390.2,+400-156-435-255+,i-y-aa-m,maayi
391.1,]100-000+,aa-.,.aa
392.1,+033-700+,ja-an,anja
392.2,+400-137+,i-a,ai
393.1,+700-034+,an-ca,caan
393.2,+000-004-745-590+,.a-ca-an-va,vaanca.a
394.1,+700-034+,an-ca,caan
394.2,+390-004-455-371-741-590+,ra-ca-sa-ka-an-va,vaankasacara
395.1,+700-033+,an-ja,jaan
395.2,+200-705-380+,as-an-ba,baanas
396.1,+034-700+,ca-an,anca
396.2,+400-775-516+,i-r-as,asri
397.1,+700-034+,an-ca,caan
397.2,+565-740-176-231+,asi-an-sa-ma,masaanasi
398.1,]000-740-904-240+,.a-an-aa-m,maaan.a
399.1,]032[,sa,sa
399.2,]060-692+,ma-ka,kama
400.1,+700-032+,an-sa,saan
400.2,+740-031-001-140+,an-aa-a-t,taaaan
401.1,+390-004-002-817+,ra-ca-va-ra,ravacara
402.1,+033-705-235-000+,ja-an-maa-.,.maaanja
402.2,+520-033-705-235-832-002-817+,na-ja-an-maa-ta-va-ra,ravatamaaanjana
403.1,+740-515-126+,an-sa-ada,adasaan
404.1,]700+,an,an
404.2,]740+,an,an
405.1,+690-368-817+,ka-na-ra,ranaka
405.2,+740-630-240-031-032-171+,an-ta-ma-aa-s-u,usaamataan
406.1,+700-034+,an-ca,caan
406.2,+400-740-100-240+,i-an-aa-m,maaani
407.1,+700-033+,an-ja,jaan
407.2,+824-032-578-415+,ra-sa-ma-ta,tamasara
407.3,+740-760-840-799+,an-ra-da-asaas,asaasdaraan
408.1,+540-000[,da-.,.da
409.1,+032-700+,sa-an,ansa
409.2,+405-035-002-861+,ra-pa-va-ra,ravapara
410.1,+033-700+,ja-an,anja
410.2,+400-740-904-240+,i-an-aa-m,maaani
411.1,+700-032+,an-sa,saan
411.2,+740-702-061-002-000+,an-an-ta-va-.,.vataanan
412.1,+033-705-235[,ja-an-maa,maaanja
412.2,]000-832-002-817+,.a-ta-va-ra,ravata.a
413.1,]556+,as,as
414.1,+700-033+,an-ja,jaan
414.2,+032-920-491+,sa-da-aa,aadasa
415.1,+700-034+,an-ca,caan
415.2,+400-297-352-892-590-740-176+,i-l-ca-da-va-an-sa,saanvadacali
416.1,+220-233+,ma-ma,mama
417.1,+400-090+,i-a,ai
418.1,+700-034+,an-ca,caan
418.2,+565-740-176-231+,asi-an-sa-ma,masaanasi
419.1,+700-033+,an-ja,jaan
419.2,+400-368-741+,i-n-an,anni
420.1,+090-100-415-717+,aa-a-t-da,dataaa
421.1,+400-740-798-463[,i-an-as-da,daasani
422.1,+700-034+,an-ca,caan
422.2,+740-384-031+,an-ba-aa,aabaan
423.1,+400-740-176-235+,i-an-sa-maa,maasaani
424.1,+700-034+,an-ca,caan
424.2,+740-642-240-060-692+,an-ta-ma-ma-ka,kamamataan
425.1,+700-033+,an-ja,jaan
425.2,+740-143-067+,an-aaa-ma,maaaaan
426.1,+407-790-032+,ra-ra-sa,sarara
427.1,+700-034+,an-ca,caan
427.2,+400-740-717+,i-an-da,daani
428.1,+700+,an,an
429.1,]176-790[,sa-ra,rasa
430.1,+405-004-104+,ra-ca-aa,aacara
431.1,]000-590-832-741-003+,.a-va-ta-an-ja,jaantava.a
432.1,]711-335-575-413+,ra-ma-ma-i,imamara
432.2,]519-742-849+,sas-an-ra,raansas
433.1,+740-843+,an-sadas,sadasan
433.2,+700-033+,an-ja,jaan
434.1,+700-034-001+,an-ca-aa,aacaan
435.1,+031+,aa,aa
436.1,+400-740-000[,i-an-.,.ani
437.1,+033-700+,ja-an,anja
437.2,+520-240+,na-ma,mana
438.1,+000-100-415+,.a-aa-t,taa.a
438.2,+824-892-413+,ra-da-i,idara
439.1,+400-158[,i-y,yi
440.1,+413+,i,i
441.1,+000-700/700-000+,.a-an-an-.,.anan.a
442.1,+032+,sa,sa
443.1,+031+,aa,aa
444.1,+032+,sa,sa
445.1,+032+,sa,sa
446.1,+033+,ja,ja
447.1,+033-820+,ja-ra,raja
448.1,+382-760-382-002-820+,ba-ra-ba-va-ra,ravabaraba
449.1,+033-000[,ja-.,.ja
449.2,+740-642[,an-ta,taan
450.1,]000+,.a,.a
450.2,]000-090+,.a-aa,aa.a
451.1,]700-034+,an-ca,caan
451.2,+740-690-000[,an-ka-.,.kaan
453.1,+700-032+,an-sa,saan
453.2,+740-817-491+,an-ra-aa,aaraan
454.1,+740-817-491+,an-ra-aa,aaraan
455.1,+740-760-240+,an-ra-ma,maraan
456.1,+033-700+,ja-an,anja
457.1,+740-636-240[,an-ta-ma,mataan
457.2,]892-413+,da-i,ida
458.1,+700-033+,an-ja,jaan
458.2,+400-740-067-100+,i-an-ma-aa,aamaani
